Sequence	Contig	Position	SexBias	P	Signif
1544498	CM014036.1	7540824	0	1	False
1544532	CM014014.1	34482999	0	1	False
1544537	CM014017.1	11333043	0	1	False
1544545	CM014036.1	12829324	0.0882353	0.575403	False
1544612	CM014016.1	24702985	0	1	False
1544618	CM014027.1	16024145	0	1	False
1544632	CM014015.1	13060177	-0.0588235	0.70663	False
1544908	CM014016.1	7245943	0	1	False
1545057	CM014027.1	9030356	0	1	False
1545310	PKUT01000389.1	5575	0	1	False
1545483	CM014018.1	14547055	0	1	False
1545746	CM014029.1	24061583	-0.0294118	1	False
1545887	CM014027.1	8009278	0	1	False
1546043	CM014017.1	12020900	0	1	False
1546083	CM014020.1	8872007	0	1	False
1546089	CM014040.1	12788599	0	1	False
1546471	CM014036.1	6603558	0	1	False
1546531	CM014015.1	26510347	-0.117647	0.463744	False
1546753	CM014015.1	37536529	0	1	False
1546863	CM014014.1	10718476	0	1	False
1547112	CM014018.1	21540691	0	1	False
1547196	CM014026.1	23747512	-0.0882353	0.352763	False
1547210	CM014020.1	15170071	0	1	False
1547327	CM014014.1	29799182	0	1	False
1547502	CM014012.1	13996327	0	1	False
1547561	CM014026.1	1292533	-0.0294118	1	False
1547614	CM014014.1	33781491	0	1	False
1547627	CM014012.1	13388547	0	1	False
1547913	CM014024.1	18561881	0.117647	0.122065	False
1548021	CM014034.1	7781156	0	1	False
1548033	CM014012.1	15495238	0	1	False
1548258	CM014019.1	21966650	-0.0882353	0.620113	False
1548379	CM014023.1	5388207	0	1	False
1548460	PKUT01001082.1	46016	-0.147059	0.279682	False
1548477	PKUT01000990.1	198124	0	1	False
1548509	CM014020.1	29162111	0	1	False
1548572	CM014035.1	8001694	0	1	False
1548760	CM014035.1	13849850	0.0882353	0.47417	False
1548948	CM014023.1	25651978	0	1	False
1549033	CM014021.1	2980417	0	1	False
1549064	CM014038.1	178147	0	1	False
1549069	PKUT01001121.1	137767	-0.0882353	0.626279	False
1549130	CM014014.1	17834088	0.0588235	0.668982	False
1549203	CM014034.1	17376722	-0.0882353	0.537379	False
1549299	PKUT01001914.1	15381	0.0588235	0.732046	False
1549384	CM014036.1	10293448	0	1	False
1549537	CM014038.1	6519117	0	1	False
1549626	CM014014.1	28999558	0	1	False
1549634	CM014023.1	22329425	-0.0882353	0.599611	False
1549663	CM014035.1	4073061	0	1	False
1549885	CM014037.1	9125648	0	1	False
1549887	CM014020.1	617251	-0.0882353	0.575403	False
1550076	CM014037.1	6188415	-0.0294118	1	False
1550163	CM014024.1	13618555	0.117647	0.122065	False
1550225	CM014036.1	5572625	0	1	False
1550226	CM014014.1	10278993	0.0294117	1	False
1550335	CM014022.1	15052190	0	1	False
1550392	CM014018.1	5884209	-0.0588235	0.732046	False
1550554	CM014014.1	18187373	0	1	False
1550601	CM014039.1	18678429	-0.0588235	0.805371	False
1550648	CM014019.1	30693583	0	1	False
1550715	CM014019.1	2144826	0	1	False
1550781	PKUT01000335.1	73569	0	1	False
1550792	CM014039.1	16631233	-0.0588235	0.606282	False
1550912	CM014012.1	8370618	-0.0294118	1	False
1550954	CM014038.1	228321	0	1	False
1551088	CM014020.1	19157677	0	1	False
1551206	CM014015.1	17097973	0	1	False
1551424	CM014027.1	21682034	0	1	False
1551471	CM014019.1	26971996	-0.0882353	0.510124	False
1551781	CM014039.1	2837102	0	1	False
1551861	PKUT01000665.1	45701	0.0588235	0.668982	False
1551957	CM014012.1	20639652	0.0882353	0.510124	False
1551968	CM014027.1	6388889	0	1	False
1551974	CM014035.1	8526662	0.117647	0.409587	False
1552576	CM014026.1	20331349	-0.0882353	0.58884	False
1552668	CM014023.1	7184189	0	1	False
1552850	CM014036.1	13284729	-0.0882353	0.424798	False
1553087	CM014029.1	9092338	0	1	False
1553088	PKUT01002813.1	17941	0	1	False
1553153	CM014019.1	5745434	-0.147059	0.293755	False
1553203	PKUT01000040.1	558082	-0.0294118	1	False
1553298	CM014022.1	7362396	0	1	False
1553444	CM014031.1	15460159	0	1	False
1553522	CM014015.1	4382273	-0.0294118	1	False
1553853	CM014013.1	37591728	0.0588235	0.732046	False
1553887	CM014027.1	25000808	0	1	False
1554105	CM014013.1	2309906	0	1	False
1554201	PKUT01002981.1	91644	0.176471	0.212138	False
1554559	CM014026.1	10098292	0	1	False
1554606	CM014017.1	9834298	0.176471	0.224449	False
1554657	CM014019.1	9992096	0.0294118	1	False
1554658	CM014020.1	25278366	0.205882	0.124067	False
1554835	CM014036.1	7298231	0	1	False
1554911	PKUT01000396.1	16648	0	1	False
1554927	PKUT01000607.1	764472	-0.0588235	0.606282	False
1554991	CM014018.1	10155080	0.147059	0.242061	False
1555031	CM014031.1	15788957	0	1	False
1555116	CM014024.1	10754418	-0.0294118	1	False
1555399	CM014035.1	2129877	-0.0882353	0.623849	False
1555441	CM014017.1	11096544	0	1	False
1555466	CM014026.1	21831357	0.0294118	1	False
1555930	CM014027.1	27881781	0	1	False
1556009	CM014027.1	30263561	0	1	False
1556073	CM014027.1	4354514	0.0882353	0.627477	False
1556208	CM014029.1	24061583	-0.0882353	0.237584	False
1556304	CM014036.1	19307151	0	1	False
1556313	CM014026.1	10484302	-0.117647	0.199619	False
1556336	CM014017.1	15922179	-0.0294118	1	False
1556398	CM014019.1	950530	-0.0294117	1	False
1556610	CM014039.1	13675226	0.117647	0.463744	False
1557229	CM014037.1	11008020	0	1	False
1557524	CM014017.1	28044151	-0.0588235	0.799681	False
1557718	CM014025.1	25282343	0.0294118	1	False
1557949	CM014013.1	38965316	0	1	False
1557962	CM014017.1	17454050	0	1	False
1558054	CM014017.1	21970750	0	1	False
1558185	CM014021.1	6646759	0.0588235	0.606282	False
1558373	CM014012.1	5627969	-0.0882353	0.510124	False
1558546	CM014014.1	24340423	0	1	False
1558579	CM014012.1	33204587	0	1	False
1558648	CM014019.1	27163129	0	1	False
1558716	CM014030.1	14714933	0.0588235	0.606282	False
1558717	CM014012.1	24877128	0	1	False
1558820	CM014026.1	10300815	-0.235294	0.0873358	False
1558952	CM014038.1	4656769	-0.117647	0.339925	False
1559053	CM014014.1	24580701	0	1	False
1559312	CM014023.1	4327428	-0.0294118	1	False
1559424	CM014024.1	24598665	0.0588235	0.606282	False
1559513	CM014035.1	15793879	-0.147059	0.217366	False
1559574	PKUT01000364.1	34810	-0.147059	0.331766	False
1559609	CM014027.1	18084314	-0.0588235	0.732046	False
1559782	CM014020.1	12404303	0.117647	0.304319	False
1560072	CM014033.1	1364339	0	1	False
1560090	PKUT01000300.1	56056	-0.0588235	0.668982	False
1560288	CM014014.1	23541049	0.0588235	0.732046	False
1560391	PKUT01000364.1	44508	-0.0882353	0.614954	False
1560512	CM014019.1	5745430	0.0294118	1	False
1560645	CM014039.1	17952578	0	1	False
1560663	CM014014.1	1871217	-0.0882353	0.599611	False
1560766	CM014012.1	13017466	0	1	False
1560844	CM014026.1	10073428	0.147059	0.15231	False
1560893	CM014012.1	11090923	0	1	False
1560902	CM014015.1	8673761	0	1	False
1561033	CM014014.1	15854652	0	1	False
1561315	CM014035.1	14846884	0.294118	0.0133661	False
1561512	CM014013.1	9313777	-0.235294	0.0357832	False
1561566	CM014035.1	8125278	0	1	False
1561619	CM014015.1	3977103	0.0588235	0.783413	False
1561648	PKUT01000322.1	56599	0.0882353	0.614954	False
1561653	CM014033.1	19763094	0.147059	0.262618	False
1561702	CM014015.1	13772747	0.205882	0.0166488	False
1561807	CM014027.1	12047016	0	1	False
1561811	CM014031.1	1978566	0	1	False
1561902	CM014023.1	8326051	0	1	False
1562035	CM014032.1	20274829	0	1	False
1562054	CM014039.1	3759168	-0.0882353	0.58884	False
1562060	CM014026.1	5003226	0	1	False
1562122	PKUT01000322.1	56599	0	1	False
1562704	CM014026.1	16106622	0	1	False
1562729	CM014016.1	33692090	0	1	False
1562785	CM014026.1	14489661	0	1	False
1562859	CM014020.1	6160774	0.0588235	0.808039	False
1562932	CM014027.1	18091231	0	1	False
1562985	CM014016.1	27662175	0	1	False
1562996	PKUT01001925.1	285757	0.176471	0.212138	False
1563251	CM014030.1	1806457	0.0294118	1	False
1563355	CM014037.1	1755550	-0.0588235	0.802942	False
1563477	CM014033.1	9565396	-0.176471	0.222026	False
1563560	CM014035.1	11203021	0.117647	0.339925	False
1563596	CM014027.1	8486112	-0.176471	0.0598453	False
1563903	CM014037.1	12962100	0	1	False
1564162	CM014017.1	8993092	0	1	False
1564322	CM014029.1	6838415	0	1	False
1564502	CM014015.1	9094640	0	1	False
1564535	CM014027.1	21373772	0.235294	0.0845601	False
1564572	CM014016.1	13758109	0.117647	0.463744	False
1564626	CM014035.1	9426024	0	1	False
1564811	CM014016.1	27876487	0	1	False
1564979	CM014023.1	11193070	0.117647	0.304319	False
1565004	CM014039.1	13516440	0	1	False
1565371	CM014017.1	18044900	-0.0294117	1	False
1565466	CM014019.1	11257902	0	1	False
1565486	PKUT01003068.1	12199	0	1	False
1565547	CM014017.1	10105106	0	1	False
1565656	CM014025.1	21124076	0.0588235	0.732046	False
1565685	CM014037.1	16516013	-0.147059	0.242061	False
1565769	PKUT01000371.1	272154	0	1	False
1566016	CM014035.1	7461997	0	1	False
1566159	CM014022.1	5088342	0	1	False
1566340	CM014017.1	27250651	0	1	False
1566348	CM014017.1	5940515	0	1	False
1566424	CM014022.1	22017159	0.205882	0.0792973	False
1566428	CM014013.1	15041014	0	1	False
1566702	CM014037.1	9057794	0	1	False
1566764	CM014021.1	3691485	0.0294118	1	False
1566976	CM014016.1	31296040	0	1	False
1567055	CM014016.1	23216803	0	1	False
1567126	CM014015.1	19821297	-0.0882353	0.424798	False
1567424	CM014030.1	25924754	0	1	False
1567442	PKUT01000141.1	276963	0	1	False
1567678	CM014037.1	16498343	0	1	False
1567697	CM014035.1	11279909	0.0882353	0.424798	False
1567759	CM014021.1	2908904	-0.117647	0.122065	False
1567792	CM014026.1	17395735	-0.0294118	1	False
1567849	CM014014.1	15620051	0.0588235	0.790127	False
1568029	PKUT01002464.1	7996	-0.0294118	1	False
1568047	CM014026.1	11689018	0.0294118	1	False
1568086	CM014013.1	10411418	-0.117647	0.304319	False
1568223	CM014024.1	1011183	0	1	False
1568227	CM014021.1	35401	0	1	False
1568333	PKUT01001094.1	83027	-0.0294118	1	False
1568354	CM014025.1	11124731	0	1	False
1568358	CM014037.1	8874288	-0.0588235	0.790127	False
1568381	CM014024.1	2708322	0.0294117	1	False
1568588	CM014038.1	11467761	-0.0882353	0.620113	False
1568612	CM014023.1	17990669	0	1	False
1568634	CM014012.1	24112484	0.0588235	0.732046	False
1568671	CM014039.1	11533596	-0.0294117	1	False
1568774	CM014029.1	5605002	-0.176471	0.224449	False
1568808	CM014030.1	19151274	0	1	False
1568848	CM014019.1	23017338	0	1	False
1569369	CM014012.1	33443612	-0.0294118	1	False
1569744	CM014034.1	18372397	0	1	False
1570073	CM014040.1	1014697	-0.117647	0.463744	False
1570130	CM014040.1	4275610	0.0294118	1	False
1570209	CM014023.1	14626556	0	1	False
1570302	CM014014.1	24703141	-0.0294118	1	False
1570620	CM014032.1	6245753	0	1	False
1570711	CM014013.1	34577339	0	1	False
1570730	CM014024.1	24349266	0	1	False
1570924	PKUT01002589.1	11659	-0.0294118	1	False
1570966	CM014025.1	14418122	0	1	False
1571050	CM014018.1	8701585	0.0588235	0.790127	False
1571253	CM014035.1	7304468	0	1	False
1571436	CM014021.1	18846871	0	1	False
1571717	CM014013.1	20622559	0	1	False
1571838	CM014025.1	17929185	0	1	False
1571912	CM014013.1	22617580	0	1	False
1572053	CM014022.1	8141136	0	1	False
1572133	CM014013.1	32687934	0	1	False
1572331	CM014016.1	26755932	-0.0294118	1	False
1572423	CM014026.1	10673400	0	1	False
1572651	CM014020.1	5855641	0.0294118	1	False
1572803	CM014020.1	22053569	0	1	False
1572815	CM014029.1	12907080	0.0588235	0.472917	False
1573024	CM014020.1	6674065	0	1	False
1573033	CM014030.1	9425396	0.0882353	0.424798	False
1573074	CM014019.1	13232041	0.558824	1.14656e-06	True
1573191	CM014014.1	15556308	0	1	False
1573266	CM014028.1	25043245	0	1	False
1573447	CM014013.1	25968782	0	1	False
1573461	CM014024.1	19796248	-0.0882353	0.620113	False
1573861	CM014014.1	29187143	0	1	False
1573969	CM014035.1	7461997	0	1	False
1574043	CM014032.1	1706790	0	1	False
1574124	CM014012.1	33204677	0	1	False
1574423	CM014014.1	31077574	-0.117647	0.304319	False
1574488	CM014035.1	13096222	0	1	False
1574506	PKUT01000364.1	38207	0	1	False
1574624	PKUT01001054.1	26843	-0.0588235	0.805371	False
1574663	CM014022.1	16676994	-0.117647	0.409587	False
1574914	PKUT01000502.1	53779	0	1	False
1575021	CM014032.1	5657014	-0.0588235	0.472917	False
1575310	CM014014.1	17092184	0	1	False
1575418	CM014015.1	1177106	0	1	False
1575595	CM014038.1	1088546	-0.205882	0.0792973	False
1575673	CM014022.1	11456532	0	1	False
1576006	CM014025.1	4183195	0	1	False
1576035	CM014032.1	12874235	0	1	False
1576215	CM014017.1	11953004	0	1	False
1576221	CM014012.1	10243705	0	1	False
1576510	CM014038.1	10973158	0	1	False
1576692	CM014033.1	12815052	0	1	False
1576836	CM014018.1	22619471	0	1	False
1576889	CM014028.1	202475	0.0882353	0.237584	False
1576900	CM014018.1	22458009	0	1	False
1577197	CM014039.1	595091	-0.176471	0.133729	False
1577341	PKUT01000617.1	371738	0	1	False
1577399	CM014038.1	10608004	0	1	False
1577426	PKUT01000951.1	2351	0	1	False
1577439	CM014020.1	17668477	0	1	False
1577769	CM014025.1	9913142	0	1	False
1577813	CM014014.1	10074480	0	1	False
1578014	CM014025.1	13925220	0	1	False
1578037	CM014015.1	15163317	0.970588	8.21565e-15	True
1578061	CM014014.1	20868107	0	1	False
1578369	CM014024.1	6321776	0	1	False
1578599	CM014018.1	7964273	0	1	False
1578671	CM014018.1	13469623	0.0588235	0.668982	False
1578677	CM014020.1	1828746	-0.0882353	0.424798	False
1578816	CM014016.1	22279043	-0.0294118	1	False
1579095	CM014012.1	9922619	0	1	False
1579329	CM014029.1	12980497	-0.0588235	0.668982	False
1579340	CM014035.1	13115404	0	1	False
1579357	CM014021.1	2813590	0.147059	0.279682	False
1579531	CM014039.1	12833803	0	1	False
1579739	CM014014.1	23541049	0.205882	0.124067	False
1579742	CM014030.1	22933131	-0.117647	0.391081	False
1579835	CM014014.1	13148879	0	1	False
1579898	CM014014.1	20812770	0	1	False
1579966	CM014016.1	27662265	0	1	False
1580075	CM014018.1	19172891	0	1	False
1580235	CM014014.1	26290444	0	1	False
1580419	CM014030.1	11997128	0	1	False
1580476	CM014015.1	19338938	0	1	False
1580611	CM014038.1	7296599	0.764706	1.24834e-09	True
1580646	CM014024.1	11686060	0	1	False
1581075	CM014012.1	15349716	-0.0588235	0.472917	False
1581120	CM014020.1	28381341	0	1	False
1581148	CM014034.1	925116	0	1	False
1581153	CM014012.1	3582193	-0.0294118	1	False
1581163	CM014027.1	25615788	0.0294118	1	False
1581170	CM014035.1	1208735	-0.0882353	0.575403	False
1581224	CM014019.1	9056141	1	1.22125e-15	True
1581257	CM014036.1	17152378	0	1	False
1581304	CM014012.1	34785875	-0.0294118	1	False
1581311	CM014018.1	5261337	0	1	False
1581591	CM014033.1	721694	0	1	False
1581609	CM014027.1	5881692	0	1	False
1581674	CM014018.1	6127248	0	1	False
1581683	CM014030.1	6726063	-0.0588235	0.606282	False
1581819	CM014020.1	16249223	-0.0294118	1	False
1582016	CM014021.1	17197350	0	1	False
1582078	CM014031.1	20647404	0.264706	0.0250618	False
1582101	CM014039.1	11403619	0	1	False
1582325	CM014032.1	10219975	0	1	False
1582481	CM014027.1	21818208	0	1	False
1582562	CM014039.1	1977483	-0.411765	0.000752155	False
1582606	CM014020.1	25441107	-0.0294118	1	False
1583049	CM014034.1	2745161	0	1	False
1583069	CM014015.1	34819690	0	1	False
1583220	CM014014.1	14978099	0	1	False
1583283	CM014034.1	8255142	0	1	False
1583387	CM014020.1	20031156	0	1	False
1583408	CM014021.1	7039557	0	1	False
1583621	CM014012.1	33612215	0	1	False
1583658	PKUT01000629.1	111309	0	1	False
1583865	CM014012.1	5062335	-0.0882353	0.623849	False
1583920	CM014020.1	6265520	0	1	False
1584254	CM014027.1	16509421	0	1	False
1584279	PKUT01000335.1	73663	-0.0882353	0.537379	False
1584397	CM014022.1	1756011	0.0294118	1	False
1584471	CM014012.1	25044076	0	1	False
1584646	CM014034.1	18811813	0.0588235	0.808039	False
1585075	CM014024.1	23535741	0	1	False
1585163	CM014040.1	11892527	0	1	False
1585216	CM014012.1	26474565	0	1	False
1585292	CM014031.1	6132951	-0.0294118	1	False
1585350	PKUT01001032.1	1222200	0	1	False
1585376	CM014022.1	7319432	0.176471	0.133729	False
1585576	PKUT01001082.1	46016	0	1	False
1585638	CM014022.1	7635858	0	1	False
1585664	CM014021.1	2431084	0	1	False
1585780	CM014033.1	6647084	0	1	False
1585844	CM014037.1	12329730	0	1	False
1585851	CM014015.1	36243601	-0.0882353	0.424798	False
1585996	CM014039.1	11963282	-0.176471	0.0868918	False
1586273	CM014012.1	22201554	0	1	False
1586664	CM014014.1	22260178	0	1	False
1586680	CM014017.1	27250651	0.0294117	1	False
1586736	CM014024.1	17060530	0	1	False
1587231	CM014027.1	29968390	0	1	False
1587486	CM014033.1	7226648	0	1	False
1587518	CM014025.1	27542457	-0.147059	0.242061	False
1587611	CM014019.1	21966756	-0.0882353	0.614954	False
1587905	CM014033.1	18723697	0	1	False
1588380	CM014023.1	4587014	0.235294	0.0845601	False
1588519	PKUT01002737.1	6727	0	1	False
1588763	CM014018.1	10082406	0	1	False
1589100	CM014029.1	2149312	-0.117647	0.339925	False
1589319	CM014012.1	32097614	0	1	False
1589622	CM014035.1	2152845	-0.0294118	1	False
1589652	CM014026.1	6520564	0	1	False
1589758	CM014026.1	15153144	0.147059	0.305229	False
1589886	CM014019.1	13819157	0	1	False
1590088	CM014032.1	9971188	0	1	False
1590156	CM014034.1	19470965	-0.0882353	0.614954	False
1590393	CM014035.1	14434769	0	1	False
1590554	CM014024.1	25712419	0	1	False
1590564	CM014038.1	6713389	-0.147059	0.330086	False
1590887	CM014023.1	19011420	0	1	False
1591187	CM014013.1	24771420	0	1	False
1591360	CM014035.1	1963606	-0.147059	0.330086	False
1591382	CM014031.1	16483848	-0.0294118	1	False
1591551	CM014019.1	27599789	0	1	False
1591576	CM014026.1	16040464	-0.0294117	1	False
1591603	CM014029.1	1677284	0	1	False
1591745	CM014031.1	18267224	0.0294118	1	False
1591937	CM014033.1	12587388	-0.0588235	0.70663	False
1592234	CM014018.1	4249443	-0.0294117	1	False
1592409	CM014021.1	2369759	0	1	False
1592781	CM014016.1	5292443	-0.0588235	0.668982	False
1592851	CM014026.1	1292533	0.0294118	1	False
1592875	CM014021.1	1691914	0.147059	0.187742	False
1592997	CM014013.1	15745228	-0.0294118	1	False
1593009	CM014030.1	15321447	0.0588235	0.606282	False
1593029	CM014033.1	18795486	-0.0294117	1	False
1593262	CM014012.1	20921358	0	1	False
1593310	CM014019.1	24092544	-0.0294118	1	False
1593524	CM014025.1	15484890	0	1	False
1593543	CM014018.1	15875160	-0.117647	0.424618	False
1593634	CM014012.1	24285694	0	1	False
1593658	CM014034.1	8057238	0	1	False
1593875	CM014013.1	12895764	0	1	False
1593967	CM014016.1	3298681	-0.0294118	1	False
1594200	CM014030.1	15878736	0	1	False
1594461	CM014026.1	6824960	-0.0588235	0.774965	False
1594483	PKUT01001027.1	621250	0	1	False
1594681	CM014014.1	1058306	0.117647	0.391081	False
1595123	CM014013.1	19170778	0.0588235	0.764244	False
1595351	CM014022.1	12343936	0	1	False
1595353	CM014015.1	14884640	0	1	False
1595396	CM014034.1	7440417	0	1	False
1595484	CM014020.1	26460367	-0.0588235	0.764244	False
1595607	PKUT01002855.1	19955	-0.0294118	1	False
1595849	CM014017.1	11844920	-0.0882353	0.537379	False
1595919	CM014014.1	9162608	-0.0882353	0.623849	False
1595961	CM014028.1	12294451	0.0882353	0.620113	False
1596174	CM014020.1	18627334	0	1	False
1596242	CM014017.1	30528162	-0.0882353	0.424798	False
1596248	CM014018.1	11026390	-0.0294118	1	False
1596254	CM014025.1	8119827	0	1	False
1596368	CM014030.1	20728191	0	1	False
1596408	CM014025.1	17490392	0	1	False
1596444	CM014031.1	14607858	0.0294118	1	False
1596800	CM014037.1	16515683	0	1	False
1596861	CM014033.1	1142532	-0.147059	0.326688	False
1596870	CM014019.1	26820864	-0.147059	0.15231	False
1596875	CM014024.1	12537806	0	1	False
1597296	CM014018.1	6224484	0	1	False
1597492	CM014017.1	27054437	0.0588235	0.668982	False
1597559	CM014031.1	6108871	-0.147059	0.314402	False
1597616	CM014036.1	8085789	0.0294118	1	False
1597886	CM014024.1	4693206	0	1	False
1597905	PKUT01002412.1	56221	0	1	False
1598062	CM014015.1	14939813	0	1	False
1598199	CM014034.1	4020764	0.0588235	0.606282	False
1598221	CM014012.1	17049591	0	1	False
1598324	CM014034.1	7603270	0	1	False
1598366	CM014021.1	17870850	0	1	False
1598409	CM014017.1	20025526	0.0294118	1	False
1598653	CM014013.1	17957793	0	1	False
1598689	CM014034.1	16287601	0	1	False
1598933	CM014035.1	15346940	0	1	False
1599252	CM014019.1	13888686	-0.117647	0.258831	False
1599460	CM014027.1	21682114	0.117647	0.258831	False
1599473	CM014025.1	116254	0	1	False
1599514	CM014038.1	14237625	0	1	False
1599591	CM014012.1	31688077	-0.176471	0.204513	False
1599685	CM014018.1	5475132	0	1	False
1599721	PKUT01000141.1	274769	0	1	False
1599936	CM014038.1	1363150	0	1	False
1600152	CM014039.1	19193219	-0.0588235	0.808039	False
1600194	CM014012.1	24532778	0	1	False
1600625	CM014039.1	3224696	0	1	False
1601215	CM014015.1	15651803	0.0294118	1	False
1601237	CM014038.1	11182721	0.0588235	0.790127	False
1601265	CM014035.1	3857024	0	1	False
1601306	CM014029.1	1765767	-0.117647	0.459781	False
1601539	PKUT01003070.1	23612	0	1	False
1601669	CM014036.1	1203206	-0.0294117	1	False
1601786	CM014022.1	13785499	0	1	False
1601872	CM014029.1	2313948	0.0588235	0.732046	False
1601912	CM014012.1	14146039	0	1	False
1601958	CM014023.1	5910530	0	1	False
1602042	CM014015.1	6834669	0	1	False
1602062	CM014029.1	19212921	0	1	False
1602192	CM014014.1	1056411	-0.0882353	0.510124	False
1602512	CM014023.1	8325961	0	1	False
1602532	CM014024.1	22827960	0	1	False
1602835	CM014014.1	15884048	-0.0294118	1	False
1603111	CM014030.1	13660438	0	1	False
1603163	CM014027.1	28679897	0	1	False
1603634	CM014018.1	87182	-0.205882	0.0928919	False
1603684	CM014014.1	23263174	0	1	False
1603740	CM014023.1	16085413	0	1	False
1603862	CM014037.1	18737982	0.0588235	0.790127	False
1603977	CM014024.1	10851822	0	1	False
1603997	CM014035.1	9242791	0	1	False
1604251	CM014026.1	8701292	-0.0588235	0.70663	False
1604294	CM014040.1	4161192	0.0588235	0.774965	False
1604296	CM014018.1	24430314	-0.0882353	0.424798	False
1604808	CM014012.1	33206898	0	1	False
1605336	CM014027.1	24044012	0	1	False
1605396	PKUT01002774.1	2121	0.0588235	0.790127	False
1605449	CM014026.1	15813341	0	1	False
1605456	CM014015.1	8798688	0.117647	0.122065	False
1605524	CM014032.1	10204103	0	1	False
1605603	CM014026.1	16375870	0	1	False
1605807	CM014015.1	1869057	0	1	False
1605892	PKUT01000355.1	241813	0	1	False
1605979	CM014033.1	8691894	0	1	False
1606360	CM014022.1	13785589	0	1	False
1606499	CM014027.1	28877666	-0.0294118	1	False
1606546	CM014020.1	16848367	0	1	False
1606821	CM014021.1	12400668	-0.0294118	1	False
1606871	CM014021.1	3691485	0.0588235	0.750406	False
1606896	PKUT01000103.1	700815	-0.205882	0.131288	False
1606966	CM014029.1	5783565	0.0294118	1	False
1607017	CM014014.1	17176114	-0.205882	0.141235	False
1607448	CM014040.1	3728391	0	1	False
1607562	CM014015.1	23526105	0.0294118	1	False
1607593	CM014013.1	16790395	0	1	False
1607728	CM014015.1	7955305	-0.117647	0.446491	False
1607786	CM014015.1	17051822	0	1	False
1607966	CM014033.1	14576486	-0.0588235	0.606282	False
1607981	CM014018.1	24468814	0	1	False
1608130	PKUT01000031.1	755693	0.117647	0.459781	False
1608248	CM014027.1	18555060	0	1	False
1608434	CM014020.1	16304219	0	1	False
1608516	CM014030.1	9361974	0	1	False
1608587	CM014028.1	2422936	0	1	False
1608857	CM014013.1	26929073	0.0588235	0.472917	False
1609100	CM014030.1	20918268	0	1	False
1609161	CM014017.1	6070579	0	1	False
1609253	CM014021.1	16151215	0.0294118	1	False
1609599	CM014014.1	13763109	0	1	False
1609635	CM014019.1	10543057	0	1	False
1609687	CM014034.1	9250405	0	1	False
1610021	CM014014.1	31284927	0	1	False
1610066	PKUT01000051.1	115332	0.0294118	1	False
1610188	CM014035.1	9812973	-0.0294118	1	False
1610294	CM014015.1	31465209	0	1	False
1610375	CM014026.1	8701202	0	1	False
1610566	CM014030.1	15523713	-0.176471	0.169327	False
1610610	CM014034.1	14247663	0	1	False
1610634	CM014019.1	15069149	-0.147059	0.0631001	False
1611124	CM014020.1	22303076	0.0882353	0.510124	False
1611184	CM014022.1	11432001	0	1	False
1611222	CM014031.1	7137954	0.117647	0.466082	False
1611253	CM014033.1	7530448	0	1	False
1611321	CM014015.1	7351462	0.147059	0.15231	False
1611522	CM014025.1	270194	0.0588235	0.799681	False
1611741	CM014040.1	8741581	0	1	False
1611814	CM014020.1	20031240	0	1	False
1612080	PKUT01001022.1	431365	0	1	False
1612263	CM014027.1	7923628	0	1	False
1612272	CM014028.1	18184943	-0.176471	0.212138	False
1612345	CM014013.1	201551	0	1	False
1612431	CM014038.1	13606258	0.0588235	0.750406	False
1612463	CM014038.1	8687035	0	1	False
1612654	CM014014.1	10019790	0	1	False
1612666	CM014012.1	13315578	0	1	False
1612712	CM014012.1	23010140	0	1	False
1612788	CM014027.1	24499780	0	1	False
1612801	CM014025.1	270194	-0.0294117	1	False
1612947	CM014039.1	847876	-0.0294118	1	False
1612949	CM014020.1	28166513	0.0588235	0.668982	False
1613040	CM014012.1	27517262	0	1	False
1613198	CM014033.1	9989830	0	1	False
1613436	CM014014.1	16154300	0	1	False
1613476	CM014016.1	1509469	0.117647	0.446491	False
1613716	CM014031.1	5376491	-0.176471	0.0325386	False
1613929	CM014032.1	4030797	0	1	False
1614047	CM014039.1	12188503	0	1	False
1614347	CM014021.1	11243589	0	1	False
1614416	CM014013.1	16904165	0	1	False
1614595	CM014027.1	19967084	0	1	False
1614683	CM014017.1	23987176	-0.0294118	1	False
1614882	CM014013.1	5207927	0.0294118	1	False
1615443	CM014021.1	28539729	0	1	False
1615539	CM014029.1	21146339	0	1	False
1615643	CM014017.1	13883609	0	1	False
1615783	CM014033.1	9463238	0.117647	0.409587	False
1615810	PKUT01000636.1	938276	0.0588235	0.805371	False
1615992	CM014025.1	14429882	0	1	False
1616323	PKUT01003016.1	56350	0.205882	0.0481625	False
1616442	CM014027.1	25615788	0.117647	0.454083	False
1616444	CM014029.1	4260773	0	1	False
1616534	CM014024.1	25286976	0	1	False
1616562	PKUT01000690.1	1026811	0.0294118	1	False
1616596	PKUT01001991.1	11931	-0.205882	0.131288	False
1616982	CM014035.1	15105299	0	1	False
1616983	CM014033.1	12932840	-0.147059	0.305229	False
1617093	CM014026.1	13414193	0	1	False
1617193	CM014039.1	15189724	0	1	False
1617419	CM014019.1	16801458	0	1	False
1617496	PKUT01000396.1	539077	0	1	False
1617637	CM014030.1	18051824	0	1	False
1617708	CM014023.1	10491388	0	1	False
1617719	CM014013.1	25239881	0	1	False
1617791	CM014020.1	4253049	0	1	False
1617818	PKUT01000544.1	113545	0.0588235	0.807051	False
